t,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close
2021-01-25 13:10:00+08:00,1.21763,1.21787,1.21761,1.21786,1.21765,1.2179,1.21764,1.21788
2021-01-25 13:15:00+08:00,1.21785,1.21787,1.21769,1.21773,1.2179,1.21791,1.21773,1.21777
2021-01-25 13:20:00+08:00,1.21773,1.21789,1.2177,1.21788,1.21776,1.21792,1.21772,1.21792
2021-01-25 13:25:00+08:00,1.21787,1.21802,1.21784,1.21786,1.21792,1.21806,1.21788,1.21788
2021-01-25 13:30:00+08:00,1.21787,1.21808,1.21785,1.21799,1.21791,1.21812,1.21788,1.21803
2021-01-25 13:35:00+08:00,1.21798,1.21808,1.21791,1.21798,1.21802,1.21811,1.21795,1.21802
2021-01-25 13:40:00+08:00,1.218,1.21803,1.21766,1.21771,1.21803,1.21807,1.21769,1.21773
2021-01-25 13:45:00+08:00,1.21769,1.21787,1.21769,1.21781,1.21773,1.2179,1.21771,1.21784
2021-01-25 13:50:00+08:00,1.2178,1.2178,1.21773,1.21777,1.21784,1.21784,1.21777,1.21781
2021-01-25 13:55:00+08:00,1.21778,1.21808,1.21778,1.21806,1.21783,1.21812,1.21783,1.2181
2021-01-25 14:00:00+08:00,1.21805,1.21832,1.21804,1.21819,1.21811,1.21835,1.21806,1.21823
2021-01-25 14:05:00+08:00,1.21819,1.21825,1.21811,1.21815,1.21824,1.21828,1.21815,1.21818
2021-01-25 14:10:00+08:00,1.21814,1.21826,1.21806,1.21809,1.21818,1.21829,1.21809,1.2181
2021-01-25 14:15:00+08:00,1.21808,1.2181,1.21758,1.21791,1.21812,1.21814,1.21762,1.21795
2021-01-25 14:20:00+08:00,1.21792,1.21815,1.21786,1.21794,1.21795,1.2182,1.21789,1.21798
2021-01-25 14:25:00+08:00,1.21792,1.21796,1.21777,1.21795,1.21794,1.218,1.21781,1.21799
2021-01-25 14:30:00+08:00,1.21796,1.21798,1.21784,1.21787,1.21799,1.218,1.21787,1.21791
2021-01-25 14:35:00+08:00,1.21787,1.21788,1.21766,1.21779,1.21792,1.21792,1.2177,1.21783
2021-01-25 14:40:00+08:00,1.21777,1.21797,1.21755,1.21787,1.21779,1.21801,1.21757,1.21791
2021-01-25 14:45:00+08:00,1.2179,1.21811,1.2179,1.21794,1.21791,1.21814,1.21791,1.21798
2021-01-25 14:50:00+08:00,1.21794,1.21794,1.21743,1.21744,1.21797,1.21797,1.21747,1.21748
2021-01-25 14:55:00+08:00,1.21745,1.21769,1.21738,1.21769,1.21748,1.21773,1.21741,1.21773
